,avgcpu,stdavgcpu,labelsavgcpu,avgmem,stdavgmem,labelsavgmem
0,0.6968842148780823,0.07217183709144592,0.7841433879549246,0.43606650829315186,0.06545358896255493,0.4772715724540699
1,0.7352499961853027,0.07474944740533829,0.7358747013087411,0.46805208921432495,0.06886223703622818,0.46806392007813
2,0.7445445656776428,0.0706101730465889,0.7243654481094189,0.49648499488830566,0.0659007653594017,0.4855447443194149
3,0.7437894940376282,0.0683743879199028,0.7398265019996974,0.4747433662414551,0.06251558661460876,0.5846745548872505
4,0.7210989594459534,0.07258205115795135,0.6603781883534389,0.46994858980178833,0.06734613329172134,0.5969012807196066
5,0.717189371585846,0.06766265630722046,0.6643977107558682,0.49006980657577515,0.06292710453271866,0.5877658467628089
6,0.714764416217804,0.06890568882226944,0.7134286369635173,0.5704769492149353,0.06851144880056381,0.5224066560693141
7,0.6731363534927368,0.07199906557798386,0.7433518468099761,0.5803932547569275,0.07256559282541275,0.5971660684404316
8,0.6772757768630981,0.07113971561193466,0.7510571315058842,0.5833081007003784,0.07234968990087509,0.5826825492409937
9,0.7068057060241699,0.07294011861085892,0.7191481545694859,0.5173206329345703,0.07040906697511673,0.5327011993415058
10,0.7000646591186523,0.07325920462608337,0.7420405370164763,0.5785912871360779,0.07264570891857147,0.5826026057826832
11,0.71747887134552,0.0680619329214096,0.740633045332734,0.5641880631446838,0.06630178540945053,0.5965881702964273
12,0.7060161828994751,0.07290259748697281,0.7435597882475667,0.5238245129585266,0.07012633234262466,0.5605201673308566
13,0.7148059606552124,0.06923885643482208,0.7225340053264971,0.5680957436561584,0.06741626560688019,0.5596103681674642
14,0.7170931100845337,0.06626453995704651,0.7668381706438719,0.5791799426078796,0.06474168598651886,0.5285825337866661
15,0.7274021506309509,0.06568495184183121,0.7869617843246505,0.5517876744270325,0.06277420371770859,0.4793270862003931
16,0.7133667469024658,0.06547282636165619,0.779609875669704,0.5501540899276733,0.06216777488589287,0.4451336018217722
17,0.7458856701850891,0.06564583629369736,0.7838019509451014,0.5223615169525146,0.060559291392564774,0.4715812670970329
18,0.7606451511383057,0.06696821004152298,0.7695539641756594,0.4775295555591583,0.05937369540333748,0.4509711508246052
19,0.7584039568901062,0.06824222952127457,0.8269200084576344,0.45193880796432495,0.05961184203624725,0.4986597098153478
20,0.7614361643791199,0.06382766366004944,0.7994427129090856,0.4792173504829407,0.05657977610826492,0.4794215953282856
21,0.7629455327987671,0.06158166006207466,0.7979486739094047,0.461016446352005,0.05415467545390129,0.4691647424475333
22,0.7894150614738464,0.06374916434288025,0.7186436168145848,0.49997156858444214,0.05821661651134491,0.403902225474015
23,0.7792054414749146,0.06073816493153572,0.6300200377214157,0.4780784845352173,0.054564524441957474,0.3218236242888657
24,0.7813888192176819,0.06139214709401131,0.754005979338655,0.4739616811275482,0.05531524494290352,0.3977131734314851
25,0.7393321394920349,0.0733451396226883,0.7156623614223708,0.4142158329486847,0.06644823402166367,0.4089617322959546
26,0.7084736824035645,0.09335541725158691,0.6823139795807535,0.3682846426963806,0.08647560328245163,0.4126949726427362
27,0.7631527185440063,0.08417946100234985,0.6436158393098595,0.43704918026924133,0.08146755397319794,0.3113910689958481
28,0.7366247773170471,0.07540576159954071,0.7407116818973093,0.43847471475601196,0.07129772007465363,0.4334832449041084
29,0.7201252579689026,0.07516073435544968,0.782347693549316,0.449563205242157,0.07237384468317032,0.4757516715454897
30,0.7092100381851196,0.08406677842140198,0.7845776364565141,0.37132441997528076,0.08061687648296356,0.5084200730915698
31,0.7387032508850098,0.08312693238258362,0.8123776820007492,0.459648996591568,0.0848870649933815,0.6218402523796684
32,0.7489547729492188,0.07485690712928772,0.785605908206544,0.4805157482624054,0.07734952867031097,0.661743301681553
33,0.747600793838501,0.07162763923406601,0.7719231927131273,0.502869188785553,0.07459524273872375,0.6780941609724422
34,0.7538374662399292,0.0714121162891388,0.7596637751254839,0.5884944796562195,0.07985346764326096,0.6748480181858243
35,0.7394812107086182,0.0698542445898056,0.7533424121869264,0.6142287850379944,0.07851305603981018,0.663651209787429
36,0.7362236976623535,0.06899174302816391,0.7230432102293228,0.6364839673042297,0.07737825810909271,0.649357152176314
37,0.7300592064857483,0.06748940050601959,0.7563492449773014,0.6366932392120361,0.07439432293176651,0.6366492609231464
38,0.7276608347892761,0.06686156988143921,0.7780154984673614,0.628689169883728,0.07207752019166946,0.6467588259901746
39,0.7093112468719482,0.06884325295686722,0.7984067979405439,0.617730438709259,0.07309820502996445,0.6560490713554192
40,0.7329831123352051,0.06776823103427887,0.796275940155515,0.6106649041175842,0.07015309482812881,0.6769777502001753
41,0.7419359683990479,0.06672617048025131,0.7957757151779509,0.6197958588600159,0.06846296042203903,0.6724171974270132
42,0.75785231590271,0.06483081728219986,0.7892194288307378,0.6276385188102722,0.06612247973680496,0.6764481245481946
43,0.7583162784576416,0.06357642263174057,0.7767319700699725,0.6441097855567932,0.06495572626590729,0.6777413817824907
44,0.7633495926856995,0.062093015760183334,0.7748298779764521,0.6426675915718079,0.06274225562810898,0.6780480575743306
